hyper,hypo,standard_norm,no_ngram_norm,ng_norm,count
fruit,apple,-3.1680751591920853,-1.2982229702174664,-3.1680796295404434,-56.6124435389897
fruit,pear,59.400397539138794,5.798259750008583,6.266932189464569,-93.56599616301408
fruit,peach,-3.1049944460392,-7.888755947351456,-3.105001151561737,-91.25212669185491
fruit,orange,-27.72880494594574,-11.572788655757904,-3.638404980301857,-36.93354726429143
fruit,pineapple,-55.38869500160217,2.2534646093845367,4.093045741319656,-91.03878920728545
fruit,lemon,7.380922883749008,0.14850908191874623,7.38091841340065,-65.35893663637096
fruit,pomegranate,-63.00467848777771,3.623020276427269,10.985970497131348,-97.13937722324889
fruit,grape,5.267916992306709,6.485439836978912,5.267921462655067,-88.9861233404569
fruit,strawberries,-65.2907133102417,4.979605600237846,15.697626769542694,-88.7931709018528
flower,peony,51.811230182647705,15.8254474401474,13.858413696289062,-98.44909184269798
flower,rose,146.12656831741333,-2.1894115954637527,23.063285648822784,16.749135146156082
flower,lily,108.58210325241089,7.221601158380508,4.2910512536764145,-93.18192151636643
flower,tulip,49.614036083221436,14.132213592529297,12.210532277822495,-96.02838754717223
flower,sunflower,-34.75457727909088,9.156723320484161,14.179478585720062,-90.75112293025342
flower,marigold,-25.294849276542664,9.12274420261383,12.057727575302124,-99.08452695857119
flower,orchid,10.703951865434647,7.983660697937012,10.703951865434647,-93.58325297140551
tree,pine,9.169016778469086,4.525832831859589,9.169016778469086,-86.72316207320807
tree,pear,20.91183215379715,11.848663538694382,20.91183215379715,-95.66247039113979
tree,maple,-12.181924283504486,19.677509367465973,31.727102398872375,-90.921095628226
tree,oak,155.62005043029785,15.57936817407608,27.810028195381165,-85.23922111925685
tree,aspen,-16.014888882637024,16.366398334503174,25.97767412662506,-99.31872684331077
tree,spruce,-32.47937858104706,5.101566016674042,35.041239857673645,-97.13105671310633
tree,larch,-4.0693119168281555,22.811006009578705,43.89603137969971,-99.65749381620648
tree,linden,-46.235501766204834,23.560859262943268,7.528995722532272,-99.73155855602536
tree,juniper,-57.9480767250061,14.995041489601135,5.129804089665413,-99.00291744925768
tree,birch,-20.747947692871094,14.30957019329071,18.878066539764404,-97.59187554218126
tree,elm,196.46062850952148,20.48897296190262,48.2303112745285,-98.9773275489597
average,,25.257317321922848,9.337584405404735,9.726516508004245,-44.851693209240054
counts,,42.64705882352941,77.94117647058823,66.17647058823529,
counts selected,,42.64705882352941,77.94117647058823,66.17647058823529,
